# MODIFIED BY M. Wild: Concatenated from b4f3/Radial Means/b4f3b*_Fav.txt
#
# Jet bulk velocity 108 m/s.
#
# Mass fractions in percent, NO and NORMS multiplied by 100.
#
# X/Db 	R(mm)	ZI	ZIRMS	T(K)	TRMS	O2	N2	H2	H20	CO	CO2	C-H	OH	NOx100	TNDR	O2RMS	N2RMS	H2RMS	H20RMS	CORMS	CO2RMS	C-HRMS	OHRMS	NORMS	TNDRRMS
#
0.6	4.10	0.3721	0.1095	1113	 190	0.6440	45.1900	3.5687	9.9110	3.2200	4.5320	30.2520	0.00080	0.1603	1.2310	0.6110	8.2300	1.0494	1.8340	0.5650	1.2520	10.7990	0.00320	0.0931	0.0860
0.6	8.10	0.1016	0.0406	1804	 179	1.1490	62.8700	0.8568	14.9300	4.4750	6.7100	3.9920	0.02170	0.4640	1.0660	1.4080	3.7200	0.3728	1.4510	0.5190	1.1660	3.8360	0.02000	0.1475	0.1000
0.6	12.10	0.0744	0.0272	1938	 177	1.8100	62.3300	0.5757	14.7540	4.3020	7.1470	1.5660	0.04110	0.5657	1.1020	1.5850	4.3200	0.2830	1.6420	0.7960	1.1040	2.4300	0.05640	0.1627	0.1220
0.6	16.10	0.0604	0.0149	2057	 156	2.0420	62.2700	0.3495	14.1580	3.8220	7.4040	0.5120	0.07800	0.6831	1.1430	1.7660	5.1600	0.1986	1.4410	1.1670	1.0190	1.2000	0.09820	0.1751	0.1070
0.6	20.10	0.0557	0.0067	2134	 103	1.6870	65.0700	0.2256	13.5180	3.0490	7.7720	0.2240	0.14780	0.7857	1.1360	1.5410	5.2000	0.1318	1.0440	1.3780	1.0440	0.3420	0.11220	0.1609	0.0910
0.6	22.10	0.0514	0.0114	2009	 222	3.8550	69.3000	0.1148	12.0560	1.7940	7.8730	0.0910	0.21980	0.6912	1.0800	3.7260	5.1300	0.1039	1.8920	1.5160	1.5370	0.1490	0.09110	0.1804	0.0850
0.6	23.00	0.0348	0.0136	1679	 397	8.8250	73.0600	0.0544	9.2850	0.7600	6.2630	0.2250	0.17640	0.4761	1.0550	5.2920	3.1400	0.0676	2.9510	0.8860	2.3390	0.1790	0.09910	0.2164	0.0470
0.6	24.00	0.0178	0.0105	1098	 439	15.3480	75.6300	0.0159	5.3050	0.2440	3.2900	0.0290	0.07320	0.2215	1.0300	4.5330	1.5700	0.0274	2.7480	0.3380	2.3770	0.0660	0.07990	0.1775	0.0440
0.6	25.10	0.0077	0.0055	 612	 257	19.8190	76.6900	0.0052	2.5110	0.0890	0.9340	0.0130	0.01590	0.0600	1.0370	2.4840	0.6700	0.0085	1.4560	0.0710	1.2290	0.0250	0.02860	0.0720	0.0340
0.6	26.00	0.0031	0.0027	 398	  99	21.9640	76.5500	0.0049	1.3180	0.0350	0.1420	0.0160	0.00940	0.0133	1.0480	1.1950	0.5100	0.0057	0.5980	0.0390	0.3710	0.0200	0.00790	0.0222	0.0220
0.9	-1.60	0.5694	0.0908	 706	 125	0.7450	29.6800	5.6917	6.7920	2.3160	4.0240	49.2460	0.00000	0.0745	1.1420	0.6410	6.8300	1.0205	1.5270	0.6370	1.0530	8.7420	0.00000	0.0281	0.0430
0.9	-0.50	0.6339	0.0746	 615	  91	0.8700	24.6500	6.4530	5.6680	1.8720	3.6520	55.3760	0.00000	0.0578	1.1350	0.6940	5.5200	0.8489	1.2540	0.5050	1.0220	7.1770	0.00000	0.0186	0.0440
