# CREATED BY M. WILD: Concatenated from original data, added x/d column
# Sandia piloted CH4-air jet flame D (1997)
# Profile of Favre average mass fractions
# x/d    r/d    F       Frms    T(K)   Trms   YO2       YO2rms    YN2       YN2rms    YH2       YH2rms    YH2O      YH2Orms   YCH4      YCH4rms   YCO       YCOrms    YCO2      YCO2rms   YOH       YOHrms    YNO       YNOrms    YCOLIF    YCOrms
  2.0   1.35  0.0909  0.0529   908.   299.  1.72E-01  3.66E-02  7.52E-01  8.60E-03  2.04E-05  5.37E-05  3.70E-02  1.66E-02  4.33E-05  2.61E-04  1.36E-07  1.75E-03  3.86E-02  2.44E-02  8.13E-05  1.31E-04  3.77E-06  2.57E-06  3.86E-04  2.52E-04
  2.0   1.49  0.0460  0.0443   632.   277.  2.01E-01  3.03E-02  7.57E-01  7.52E-03  1.50E-05  3.12E-05  2.22E-02  1.38E-02  2.89E-05  1.67E-04  0.00E+00  1.28E-03  1.89E-02  2.06E-02  1.85E-05  4.64E-05  1.97E-06  2.04E-06  1.94E-04  1.60E-04
  2.0   1.62  0.0113  0.0179   400.   131.  2.24E-01  1.20E-02  7.61E-01  5.74E-03  1.02E-05  1.28E-05  1.07E-02  5.99E-03  0.00E+00  9.43E-05  0.00E+00  6.94E-04  4.07E-03  8.06E-03  2.37E-06  1.22E-05  6.17E-07  8.12E-07  4.78E-05  8.17E-05
  2.0   1.90  0.0000  0.0009   298.     8.  2.30E-01  4.18E-03  7.64E-01  4.20E-03  4.66E-06  6.10E-06  5.91E-03  4.63E-04  0.00E+00  5.96E-05  0.00E+00  4.18E-04  0.00E+00  3.88E-04  4.21E-08  1.29E-07  2.21E-07  1.90E-07  3.00E-05  4.41E-05
  3.0  -0.74  0.5187  0.1166  1742.   249.  4.27E-02  3.29E-02  7.01E-01  2.26E-02  1.38E-03  4.58E-04  9.68E-02  1.97E-02  3.12E-02  2.50E-02  3.15E-02  1.04E-02  9.63E-02  1.82E-02  1.13E-03  8.84E-04  2.67E-05  8.60E-06  2.99E-02  8.33E-03
  3.0  -0.60  0.7787  0.0837   879.   304.  1.44E-01  3.63E-02  6.67E-01  1.20E-02  8.79E-04  4.57E-04  3.61E-02  2.06E-02  1.02E-01  2.37E-02  1.43E-02  1.05E-02  3.59E-02  2.14E-02  3.25E-05  5.74E-05  7.18E-06  5.08E-06  1.44E-02  9.24E-03
  3.0  -0.46  0.8980  0.0697   461.   143.  1.84E-01  1.45E-02  6.57E-01  8.79E-03  2.24E-04  2.00E-04  1.07E-02  8.63E-03  1.35E-01  1.48E-02  2.11E-03  3.81E-03  9.18E-03  8.97E-03  8.34E-07  9.66E-06  1.66E-06  1.47E-06  3.36E-03  3.22E-03
  3.0  -0.32  0.9690  0.0422   322.    38.  1.95E-01  5.11E-03  6.51E-01  6.10E-03  3.37E-05  4.42E-05  2.33E-03  2.29E-03  1.51E-01  7.12E-03  0.00E+00  1.02E-03  1.23E-03  2.15E-03  0.00E+00  8.54E-07  3.25E-07  3.59E-07  5.72E-04  6.97E-04
  3.0  -0.18  0.9876  0.0356   293.     6.  1.96E-01  4.47E-03  6.50E-01  5.87E-03  2.61E-06  1.27E-05  6.26E-04  3.17E-04  1.54E-01  5.55E-03  4.77E-05  9.58E-04  0.00E+00  8.18E-04  1.96E-07  7.53E-07  1.54E-07  1.09E-07  8.19E-05  1.66E-04
  3.0  -0.04  0.9869  0.0370   291.     3.  1.96E-01  4.35E-03  6.50E-01  6.16E-03  2.22E-06  1.36E-05  5.17E-04  1.65E-04  1.54E-01  5.71E-03  2.27E-07  9.18E-04  0.00E+00  8.56E-04  1.12E-07  7.47E-07  7.49E-08  8.83E-08  4.85E-05  6.53E-05
