B4C1 Bluff-Body C2H4 Cold Flows, Mixture Fractions        
File Name =   b4c1a.dat
MODIFIED BY M. WILD, 2012-12-19: Reformated to add x column and removed sectioning

Axial(mm) Radial(mm)     Mean      RMS 

    22.30    -24.80     0.010     0.008
    22.30    -24.20     0.016     0.012
    22.30    -23.60     0.026     0.016
    22.30    -23.00     0.040     0.024
    22.30    -22.40     0.053     0.020
    22.30    -21.80     0.068     0.032
    22.30    -21.20     0.094     0.024
    22.30    -20.60     0.100     0.024
    22.30    -20.00     0.095     0.020
    22.30    -19.40     0.103     0.024
    22.30    -18.80     0.099     0.028
    22.30    -18.20     0.101     0.024
    22.30    -17.60     0.099     0.024
    22.30    -17.00     0.093     0.028
    22.30    -16.40     0.104     0.024
    22.30    -15.80     0.115     0.036
    22.30    -15.20     0.120     0.040
    22.30    -14.60     0.110     0.040
    22.30    -14.00     0.120     0.048
    22.30    -13.40     0.110     0.036
    22.30    -12.80     0.121     0.036
    22.30    -12.20     0.119     0.036
    22.30    -11.60     0.117     0.032
    22.30    -11.00     0.125     0.040
    22.30    -10.40     0.143     0.044
    22.30     -9.80     0.130     0.032
    22.30     -9.20     0.144     0.036
    22.30     -8.60     0.154     0.036
    22.30     -8.00     0.183     0.044
    22.30     -7.40     0.181     0.040
    22.30     -6.80     0.181     0.052
    22.30     -6.20     0.184     0.052
    22.30     -5.60     0.194     0.052
    22.30     -5.00     0.234     0.060
    22.30     -4.40     0.272     0.068
    22.30     -3.80     0.294     0.076
    22.30     -3.20     0.354     0.076
    22.30     -2.60     0.408     0.096
    22.30     -2.00     0.509     0.096
    22.30     -1.40     0.653     0.124
    22.30     -0.80     0.744     0.144
    22.30     -0.20     0.816     0.156
    22.30      0.40     0.845     0.128
    22.30      1.00     0.781     0.112
    22.30      1.60     0.697     0.128
    22.30      2.20     0.611     0.120
    22.30      2.80     0.539     0.120
    22.30      3.40     0.479     0.104
    22.30      4.00     0.381     0.092
    22.30      4.60     0.307     0.084
    22.30      5.20     0.247     0.076
    22.30      5.80     0.225     0.064
    22.30      6.40     0.221     0.060
    22.30      7.00     0.185     0.052
    22.30      7.60     0.177     0.044
    22.30      8.20     0.186     0.048
    22.30      8.80     0.172     0.040
    22.30      9.40     0.173     0.036
    22.30     10.00     0.166     0.036
    22.30     10.60     0.171     0.040
    22.30     11.20     0.163     0.044
    22.30     11.80     0.175     0.044
    22.30     12.40     0.148     0.044
    22.30     13.00     0.155     0.036
    22.30     13.60     0.166     0.040
    22.30     14.20     0.149     0.036
    22.30     14.80     0.145     0.036
    22.30     15.40     0.142     0.036
    22.30     16.00     0.146     0.032
    22.30     16.60     0.139     0.032
    22.30     17.20     0.141     0.032
    22.30     17.80     0.129     0.028
    22.30     18.40     0.135     0.024
    22.30     19.00     0.132     0.028
    22.30     19.60     0.127     0.032
    22.30     20.20     0.117     0.032
    22.30     20.80     0.099     0.032
    22.30     21.40     0.091     0.036
    22.30     22.00     0.062     0.032
    22.30     22.60     0.037     0.024
    22.30     23.20     0.030     0.024
    22.30     23.80     0.017     0.020
    22.30     24.40     0.006     0.012
    22.30     25.00     0.002     0.004
    22.30     25.60     0.002     0.004
    22.30     26.20     0.001     0.000
    23.00    -29.00     0.001     0.000
    23.00    -28.40     0.002     0.004
    23.00    -27.80     0.000     0.000
    23.00    -27.20     0.000     0.000
    23.00    -26.60     0.002     0.000
    23.00    -26.00     0.002     0.004
    23.00    -25.40     0.006     0.004
    23.00    -24.80     0.007     0.004
    23.00    -24.20     0.013     0.008
    23.00    -23.60     0.025     0.016
    23.00    -23.00     0.047     0.024
    23.00    -22.40     0.052     0.024
    23.00    -21.80     0.070     0.024
    23.00    -21.20     0.091     0.024
    23.00    -20.60     0.096     0.024
    23.00    -20.00     0.098     0.024
    23.00    -19.40     0.102     0.024
    23.00    -18.80     0.101     0.028
    23.00    -18.20     0.107     0.028
    23.00    -17.60     0.100     0.028
    23.00    -17.00     0.094     0.028
    23.00    -16.40     0.111     0.032
    23.00    -15.80     0.111     0.032
    23.00    -15.20     0.108     0.036
    23.00    -14.60     0.116     0.036
    23.00    -14.00     0.118     0.040
    23.00    -13.40     0.120     0.036
    23.00    -12.80     0.124     0.040
    23.00    -12.20     0.122     0.036
    23.00    -11.60     0.131     0.040
    23.00    -11.00     0.131     0.044
    23.00    -10.40     0.140     0.044
    23.00     -9.80     0.143     0.044
    23.00     -9.20     0.153     0.040
    23.00     -8.60     0.169     0.036
    23.00     -8.00     0.176     0.040
    23.00     -7.40     0.185     0.040
    23.00     -6.80     0.180     0.048
    23.00     -6.20     0.201     0.048
    23.00     -5.60     0.214     0.056
    23.00     -5.00     0.224     0.060
    23.00     -4.40     0.265     0.068
    23.00     -3.80     0.303     0.072
    23.00     -3.20     0.378     0.084
    23.00     -2.60     0.456     0.100
    23.00     -2.00     0.541     0.108
    23.00     -1.40     0.628     0.116
    23.00     -0.80     0.743     0.128
    23.00     -0.20     0.801     0.132
    23.00      0.40     0.830     0.132
    23.00      1.00     0.764     0.112
    23.00      1.60     0.714     0.116
    23.00      2.20     0.641     0.132
    23.00      2.80     0.568     0.100
    23.00      3.40     0.500     0.104
    23.00      4.00     0.408     0.092
    23.00      4.60     0.314     0.092
    23.00      5.20     0.281     0.084
    23.00      5.80     0.228     0.052
    23.00      6.40     0.221     0.056
    23.00      7.00     0.199     0.048
    23.00      7.60     0.183     0.040
    23.00      8.20     0.181     0.044
